ds,yhat,yhat_lower,yhat_upper
2024-04-01,88.16552466115056,-20.20800355428179,201.5107149971129
2024-07-14,208.39306503964963,86.14315757419766,322.84208465217677
2024-08-18,210.24158287950712,98.44552502026886,315.83764777576596
2024-09-27,199.21024326917754,87.30668558365115,313.45181871404924
2024-10-01,243.9439067616621,126.5228364538617,363.05780382615376
2024-10-22,245.0530174680085,132.8977992095447,359.8420149870507
2024-10-25,200.6890575448028,96.06862259847647,318.276063106143
2024-11-30,191.43864209113661,76.1099252235786,304.21466246546805
2024-12-06,202.90727897041393,86.58406697314118,325.2904193208285
2024-12-21,192.54775280461405,76.19795089923313,304.266673381154
2025-01-26,218.7447649788428,95.35657907699174,330.45187444059127
2025-03-03,105.9112959767443,-5.7393141406816754,226.05408935505193
2025-03-05,437.985829445443,332.79644660306667,561.7318281207187
2025-03-06,405.5809473035339,282.2068928143308,517.9436685581817
2025-08-15,216.21660755227927,104.84729148315583,327.63897177194457
2025-08-17,229.4661685660764,111.17935440172757,334.72585478261925
2025-08-21,414.45383303462575,294.3865404516176,537.2200722306989
2025-08-31,230.2055757094925,121.23389488219983,350.72964297853923
2025-09-08,115.89329242295736,-4.992466484037154,227.8664124365699
2025-09-09,262.05938176060243,139.47443007119668,370.14293984148316
2025-09-10,447.9678258917612,327.08082696994086,567.1406519919642
2025-09-11,415.5629437500588,308.00438364415305,534.6264222545713
2025-09-12,217.69542183908032,100.01865078788627,341.66555246979607
2025-09-13,206.59648853066204,93.4354742422372,319.2714467002723
2025-09-14,230.9449828527069,110.32666016575952,342.2876709965373
2025-09-15,116.26299599468402,9.36972265730287,234.46393676616182
2025-09-16,262.4290853324097,145.36359261849157,378.3933020446986
2025-09-17,448.3375294634286,328.28844405006896,566.6390493053776
2025-09-18,415.93264732152795,301.8934011808348,535.3566273180453
2025-09-19,218.06512541053738,98.6648098742368,331.7091009209188
2025-09-20,206.96619210221422,91.82073479862773,314.51433869781073
2025-09-21,231.31468642431412,116.66759881218772,349.3299870653279
2025-09-22,116.63269956633113,7.200970513907311,233.97400594433577
2025-09-23,262.7987889042388,156.24164774175563,376.1295161818721
2025-09-24,448.707233035248,341.8682148988438,566.0916345562661
2025-09-25,416.3023508929972,299.92492073653744,527.3162938978134
2025-09-26,218.43482898225767,104.01976643314953,326.1988849345621
2025-09-27,207.3358956738665,91.73595485689381,325.25741364320044
2025-09-28,231.68438999583316,114.80034898922065,344.67526659495485
2025-09-29,117.00240313790448,5.140798540702702,230.80262207962318
2025-09-30,263.1684924760678,147.28189570931616,384.9446006207329
2025-10-01,449.07693660644,330.1775180919792,562.408861048943
2025-10-02,416.6720544644663,308.5705843490583,525.269548056457
2025-10-03,218.8045325537148,97.86954249603227,328.1166891319561
2025-10-04,207.70559924564083,96.305742924091,318.3280802337563
2025-10-05,232.0540935675285,116.203232249064,348.3259210565118
2025-10-06,117.37210670963111,-6.459204007524245,232.05375013572652
2025-10-07,263.53819604785343,152.9205885647016,387.4094746449925
2025-10-08,449.4466401781834,340.94911124987334,562.4261462205952
