ds,yhat,yhat_lower,yhat_upper
2024-05-13,118.35350826154439,4.959441963954508,225.96728360708678
2024-07-20,126.93650760067342,6.363311192473313,245.52391618832925
2024-09-09,128.54574347468716,14.144361186540202,244.27832800855822
2024-10-28,132.74254620221478,14.557996210552663,245.42400304955262
2024-10-29,206.76131346117307,97.4108954102383,314.02649807993004
2024-10-31,162.68585624707626,40.51440206372402,270.46079506413787
2024-11-05,207.36085670927335,107.88898083231236,317.59780564894174
2024-11-11,133.9416326988028,15.831522516921757,245.59259009601425
2024-11-16,137.12874280431518,27.720092918015506,262.5579876919814
2024-11-18,134.54117594842788,22.340317713261026,251.80832751171144
2024-11-20,153.32935307310072,50.21166560883193,272.0121188831619
2024-11-22,228.30158996150197,114.6369653491361,336.56978388261194
2024-11-27,153.92889632391314,37.876235756797,275.2842354094843
2024-12-24,211.55765946720675,96.42130719003175,325.4062980515392
2025-01-28,214.55537572325636,105.7481126474016,325.21915006550205
2025-02-06,171.07946176312785,53.53662861077592,291.4532202523361
2025-02-20,172.27854826653203,60.858712947310316,293.8097146952134
2025-02-28,236.69519548670664,119.6914988543705,346.45915601278404
2025-03-04,217.55309198430632,107.99576868134434,328.8681221441659
2025-03-05,162.32250185043142,47.50178233763622,275.4543169857966
2025-04-18,240.89199824787164,127.90928610058839,354.01162813910344
2025-05-19,150.12930049216254,42.45282306644025,252.78453754790667
2025-05-28,169.5170208687934,48.51458553739106,284.9986531511286
2025-07-06,370.1361023757421,264.41948899701316,487.0563446635111
2025-09-02,233.14121652388909,124.20481216756367,344.7202520759639
2025-09-07,375.5319916396263,262.92431989069377,482.55169227905736
2025-09-08,159.72199251643934,39.811357993569366,271.94576230627564
2025-09-09,233.74075977588063,129.1661024820778,350.5748506208647
2025-09-10,178.51016964214614,64.76123613176935,289.87063390284845
2025-09-11,189.6653025635509,73.64707179490367,297.1143277881683
2025-09-12,253.48240653014102,142.540713286791,370.7348680450737
2025-09-13,162.90910262340327,60.74212008132147,269.4265809598194
2025-09-14,376.1315348911674,268.56692265205476,481.5987216967794
2025-09-15,160.32153576831303,49.693807659338404,282.9015123378633
2025-09-16,234.3403030272947,124.95303032272687,347.34321434172927
2025-09-17,179.10971289323103,64.95506385924631,294.4586112602607
2025-09-18,190.2648458149428,79.56693433836467,298.29780751115794
2025-09-19,254.08194978130683,147.45862690660658,363.9897950898329
2025-09-20,163.50864587492578,42.66895181812578,272.8325949623423
2025-09-21,376.7310781427085,266.6948444325164,494.3221058478976
2025-09-22,160.9210790195773,42.29397826762018,272.2603982010703
2025-09-23,234.93984627921196,124.24968724813479,344.9372490738213
2025-09-24,179.70925614556333,69.15380621183768,291.3392408906608
2025-09-25,190.86438906633472,78.76102340807601,305.7256313631073
2025-09-26,254.6814930334622,150.6846261757832,359.2627025533717
2025-09-27,164.10818912645698,48.297775686853406,280.0174237611203
2025-09-28,377.33062139425635,259.9679758791105,487.270893078213
2025-09-29,161.52062227140752,49.39886233567319,269.6529762489424
2025-09-30,235.5393895311292,120.33550212554852,351.58230873568345
2025-10-01,180.30879939651317,66.44297195063066,281.9266734595534
2025-10-02,191.46393231772657,75.88387062459971,309.1353893551438
2025-10-03,255.28103628462804,135.15271957907424,367.3986814065727
2025-10-04,164.70773237825904,48.311596497090854,272.22051244990473
2025-10-05,377.9301646457907,268.2194480614651,491.18482536599197
2025-10-06,162.12016552328123,52.45631857971359,275.5636138900246
2025-10-07,236.13893278204006,123.1449893086071,350.56816594736233
