Discount_Perc,Relocate,Dispose
0.8345067532473343,0,0
0.31751921856426785,0,0
0.4502054119208235,0,0
0.4178750350593285,0,0
0.1406314460903643,0,1
0.5965300343187405,0,1
0.3138636675381909,0,0
0.31547473902824,0,0
0.48494168032687823,0,1
0.5342420579147742,0,1
0.22103286166490427,0,0
0.27053148340046723,0,0
0.4070141973979803,0,1
0.7027727322151597,0,0
0.43756576665221497,0,0
0.8324876801036413,0,1
0.3843250662983526,0,1
0.5252251229077549,0,1
0.6262280679725424,0,0
0.4032788120322447,0,0
0.1878308073346925,0,1
0.3981121865312497,0,0
0.779780583703598,0,0
0.21725749848506293,0,0
0.3835232297078335,0,1
0.3538677412030239,0,1
0.5399602785022689,0,0
0.2653341814283648,0,0
0.42857122601514336,0,0
0.18278594215972777,0,0
0.32998362622619043,0,0
0.6033606057551875,0,0
0.30275893866620956,0,0
0.6850451215399421,0,1
0.5611940257566769,0,0
0.7636310948315086,0,0
0.49962951687645885,0,0
0.8897963394581473,0,0
0.7872545041668687,0,0
0.4135430163100316,0,0
0.3558268004009421,0,0
0.7944832489565595,0,0
0.58404061037008,0,1
0.5409752649000635,0,0
0.20248919373825836,0,0
0.23851581091818252,0,1
0.20411225792046,0,0
0.49807876178429367,0,0
0.45121699829471196,0,1
0.49997237653208665,0,0
0.428426326946208,0,0
0.37904172332914227,0,0
0.7083884023201835,0,1
0.8970943754780659,0,0
0.9176855047293064,0,0
0.18166054897800094,0,0
0.7285219734031203,0,0
0.5800128490557658,0,0
0.543052195403122,0,0
0.23678497892489647,0,0
0.27999532380755826,0,0
0.5549540868101279,0,0
0.4488139923686132,0,0
0.7148786474409422,0,0
0.7994056957787967,0,0
0.6093854537532158,0,0
0.4695987107098112,0,0
0.12319054861483993,0,0
0.4640103424188763,0,0
0.2329910538809835,0,0
1.193614977362759,0,0
0.19888877315811185,0,0
0.8208485487034567,0,0
0.7241875562003278,0,0
0.45919471433664927,0,0
0.42051376544781993,0,1
0.5245809815287714,0,0
0.4555459963677173,0,0
0.6612437662659714,0,0
0.40465902853172814,0,0
0.3462329640331827,0,0
1.0507972914314214,0,0
0.5483092587032392,0,1
0.21213983907954037,0,1
1.208875514295375,0,0
0.6223908394346498,0,1
0.5060275144473494,0,1
0.6075365713452088,0,0
0.26458820382761594,0,0
0.7109221381047942,0,1
0.7864712568552273,0,0
0.5908228244340368,0,1
0.6565834857212074,0,0
0.9448261757726105,0,1
0.31104075830864386,0,0
0.38650790145564917,0,0
0.660330232225683,0,0
0.6952757191475171,0,1
1.0027523708236616,0,0
